Date,FLDATA.Death,FLDATA.DeathConfirmed
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,2,0
2020-3-12,2,0
2020-3-13,2,0
2020-3-14,3,0
2020-3-15,4,0
2020-3-16,4,0
2020-3-17,6,0
2020-3-18,7,0
2020-3-19,8,0
2020-3-20,10,0
2020-3-21,12,0
2020-3-22,13,0
2020-3-23,14,0
2020-3-24,18,0
2020-3-25,22,0
2020-3-26,28,0
2020-3-27,34,0
2020-3-28,54,0
2020-3-29,56,0
2020-3-30,63,0
2020-3-31,77,0
2020-4-1,87,0
2020-4-2,128,0
2020-4-3,163,0
2020-4-4,191,0
2020-4-5,218,0
2020-4-6,236,0
2020-4-7,296,0
2020-4-8,309,0
2020-4-9,354,0
2020-4-10,390,0
2020-4-11,438,0
2020-4-12,465,0
2020-4-13,483,0
2020-4-14,537,0
2020-4-15,609,0
2020-4-16,646,0
2020-4-17,699,0
2020-4-18,754,0
2020-4-19,781,0
2020-4-20,806,0
2020-4-21,856,0
2020-4-22,910,0
2020-4-23,979,0
2020-4-24,1031,0
2020-4-25,1075,0
2020-4-26,1094,0
2020-4-27,1101,0
2020-4-28,1154,0
2020-4-29,1240,0
2020-4-30,1290,0
2020-5-1,1314,0
2020-5-2,1388,0
2020-5-3,1403,1403
2020-5-4,1423,1423
2020-5-5,1536,1536
2020-5-6,1605,1605
2020-5-7,1667,1667
2020-5-8,1738,1738
2020-5-9,1785,1785
2020-5-10,1791,1791
2020-5-11,1805,1805
2020-5-12,1849,1849
2020-5-13,1898,1898
2020-5-14,1948,1948
2020-5-15,1991,1991
2020-5-16,2040,2040
2020-5-17,2049,2049
2020-5-18,2073,2073
2020-5-19,2129,2129
2020-5-20,2173,2173
2020-5-21,2222,2222
2020-5-22,2268,2268
2020-5-23,2312,2312
2020-5-24,2316,2316
2020-5-25,2331,2331
2020-5-26,2338,2338
2020-5-27,2400,2400
2020-5-28,2446,2446
2020-5-29,2495,2495
2020-5-30,2530,2530
2020-5-31,2534,2534
2020-6-1,2543,2543
2020-6-2,2613,2613
2020-6-3,2650,2650
2020-6-4,2691,2691
2020-6-5,2745,2745
2020-6-6,2773,2773
2020-6-7,2786,2786
2020-6-8,2798,2798
2020-6-9,2851,2851
2020-6-10,2889,2889
2020-6-11,2938,2938
2020-6-12,2967,2967
2020-6-13,3016,3016
