Date,MDDATA.Death,MDDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,2,0
2020-3-17,0,0
2020-3-18,2,2
2020-3-19,2,2
2020-3-20,3,3
2020-3-21,3,3
2020-3-22,4,4
2020-3-23,4,4
2020-3-24,5,5
2020-3-25,5,5
2020-3-26,7,7
2020-3-27,10,10
2020-3-28,17,17
2020-3-29,24,23
2020-3-30,35,34
2020-3-31,43,42
2020-4-1,52,50
2020-4-2,64,60
2020-4-3,84,79
2020-4-4,101,94
2020-4-5,122,115
2020-4-6,138,131
2020-4-7,160,152
2020-4-8,191,181
2020-4-9,221,210
2020-4-10,255,244
2020-4-11,298,286
2020-4-12,335,317
2020-4-13,384,360
2020-4-14,421,396
2020-4-15,469,441
2020-4-16,499,471
2020-4-17,541,512
2020-4-18,582,550
2020-4-19,626,592
2020-4-20,683,644
2020-4-21,732,692
2020-4-22,779,738
2020-4-23,831,789
2020-4-24,899,853
2020-4-25,948,900
2020-4-26,1001,950
2020-4-27,1045,990
2020-4-28,1099,1042
2020-4-29,1168,1110
2020-4-30,1226,1167
2020-5-1,1276,1214
2020-5-2,1323,1258
2020-5-3,1372,1302
2020-5-4,1424,1353
2020-5-5,1476,1402
2020-5-6,1520,1444
2020-5-7,1580,1500
2020-5-8,1643,1561
2020-5-9,1692,1609
2020-5-10,1739,1652
2020-5-11,1788,1698
2020-5-12,1834,1742
2020-5-13,1881,1787
2020-5-14,1935,1840
2020-5-15,1991,1896
2020-5-16,2040,1943
2020-5-17,2090,1989
2020-5-18,2122,2020
2020-5-19,2164,2061
2020-5-20,2198,2093
2020-5-21,2221,2116
2020-5-22,2274,2169
2020-5-23,2306,2197
2020-5-24,2341,2229
2020-5-25,2379,2267
2020-5-26,2417,2302
2020-5-27,2458,2343
2020-5-28,2501,2386
2020-5-29,2538,2421
2020-5-30,2562,2444
2020-5-31,2596,2476
2020-6-1,2625,2505
2020-6-2,2646,2525
2020-6-3,2666,2544
2020-6-4,2668,2546
2020-6-5,2702,2580
2020-6-6,2740,2616
2020-6-7,2749,2625
2020-6-8,2776,2653
2020-6-9,2811,2686
2020-6-10,2844,2719
2020-6-11,2875,2750
2020-6-12,2900,2773
2020-6-13,2926,2799
2020-6-14,2939,2811
2020-6-15,2947,2817
2020-6-16,2982,2851
2020-6-17,2996,2866
2020-6-18,3016,2886
2020-6-19,3030,2901
2020-6-20,3052,2923
2020-6-21,3066,2937
2020-6-22,3074,2945
2020-6-23,3092,2963
2020-6-24,3108,2978
2020-6-25,3129,3001
2020-6-26,3142,3015
2020-6-27,3157,3030
2020-6-28,3168,3042
2020-6-29,3175,3048
2020-6-30,3190,3062
2020-7-1,3205,3077
2020-7-2,3212,3086
2020-7-3,3223,3099
2020-7-4,3236,3111
2020-7-5,3243,3118
2020-7-6,3246,3121
2020-7-7,3266,3140
2020-7-8,3275,3149
2020-7-9,3288,3160
2020-7-10,3303,3172
2020-7-11,3310,3179
2020-7-12,3319,3188
2020-7-13,3325,3194
2020-7-14,3334,3202
2020-7-15,3341,3209
2020-7-16,3347,3215
2020-7-17,3359,3227
2020-7-18,3368,3238
2020-7-19,3377,3247
2020-7-20,3382,3252
2020-7-21,3402,3272
2020-7-22,3405,3276
2020-7-23,3409,3281
2020-7-24,3422,3293
2020-7-25,3433,3304
2020-7-26,3440,3309
2020-7-27,3447,3315
2020-7-28,3458,3327
2020-7-29,3478,3347
2020-7-30,3488,3357
2020-7-31,3493,3362
2020-8-1,3506,3374
2020-8-2,3515,3381
2020-8-3,3523,3389
2020-8-4,3530,3396
2020-8-5,3536,3402
2020-8-6,3551,3415
2020-8-7,3565,3429
2020-8-8,3577,3440
2020-8-9,3585,3448
2020-8-10,3591,3454
2020-8-11,3604,3467
2020-8-12,3612,3474
2020-8-13,3620,3483
2020-8-14,3631,3495
2020-8-15,3636,3499
2020-8-16,3639,3502
2020-8-17,3641,3504
2020-8-18,3650,3511
2020-8-19,3661,3522
2020-8-20,3669,3531
2020-8-21,3674,3536
2020-8-22,3685,3546
2020-8-23,3691,3552
2020-8-24,3694,3554
2020-8-25,3707,3564
2020-8-26,3717,3574
2020-8-27,3722,3580
2020-8-28,3736,3593
2020-8-29,3746,3603
2020-8-30,3752,3609
2020-8-31,3755,3612
2020-9-1,3761,3617
2020-9-2,3766,3623
2020-9-3,3778,3634
2020-9-4,3789,3645
2020-9-5,3796,3652
2020-9-6,3799,3655
2020-9-7,3804,3660
2020-9-8,3807,3663
2020-9-9,3816,3672
2020-9-10,3824,3679
2020-9-11,3828,3685
2020-9-12,3836,3693
2020-9-13,3838,3695
2020-9-14,3839,3696
2020-9-15,3849,3706
2020-9-16,3855,3712
2020-9-17,3861,3717
2020-9-18,3869,3724
2020-9-19,3876,3732
2020-9-20,3879,3735
2020-9-21,3883,3739
2020-9-22,3895,3748
2020-9-23,3902,3756
2020-9-24,3909,3765
2020-9-25,3917,3772
2020-9-26,3925,3780
2020-9-27,3935,3790
2020-9-28,3938,3793
2020-9-29,3946,3802
2020-9-30,3949,3805
2020-10-1,3949,3805
2020-10-2,3950,3806
2020-10-3,3957,3813
2020-10-4,3958,3814
2020-10-5,3961,3817
2020-10-6,3967,3823
2020-10-7,3973,3829
2020-10-8,3979,3835
2020-10-9,3990,3845
2020-10-10,3995,3850
2020-10-11,3999,3854
2020-10-12,4003,3859
2020-10-13,4012,3868
2020-10-14,4022,3877
2020-10-15,4028,3883
2020-10-16,4032,3887
2020-10-17,4036,3891
2020-10-18,4037,3891
2020-10-19,4041,3895
2020-10-20,4050,3904
2020-10-21,4058,3912
2020-10-22,4070,3924
2020-10-23,4078,3932
2020-10-24,4091,3945
2020-10-25,4096,3950
2020-10-26,4099,3953
2020-10-27,4108,3962
2020-10-28,4115,3969
2020-10-29,4127,3980
2020-10-30,4137,3990
2020-10-31,4147,4000
2020-11-1,4152,4004
2020-11-2,4155,4007
2020-11-3,4162,4015
2020-11-4,4172,4025
2020-11-5,4182,4035
2020-11-6,4194,4046
2020-11-7,4201,4052
2020-11-8,4212,4063
2020-11-9,4221,4072
2020-11-10,4233,4084
2020-11-11,4249,4100
2020-11-12,4261,4112
2020-11-13,4273,4124
2020-11-14,4293,4144
2020-11-15,4302,4153
2020-11-16,4309,4160
2020-11-17,4335,4186
2020-11-18,4351,4201
2020-11-19,4372,4220
2020-11-20,4398,4245
2020-11-21,4415,4261
2020-11-22,4434,4279
2020-11-23,4448,4293
2020-11-24,4481,4325
