Date,NCDATA.Death,NCDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,1,0
2020-3-26,2,0
2020-3-27,3,0
2020-3-28,4,0
2020-3-29,4,0
2020-3-30,6,0
2020-3-31,8,0
2020-4-1,10,0
2020-4-2,16,0
2020-4-3,19,0
2020-4-4,24,0
2020-4-5,31,0
2020-4-6,33,0
2020-4-7,46,0
2020-4-8,53,0
2020-4-9,65,0
2020-4-10,74,0
2020-4-11,80,0
2020-4-12,81,0
2020-4-13,86,0
2020-4-14,108,0
2020-4-15,117,0
2020-4-16,131,0
2020-4-17,152,0
2020-4-18,164,0
2020-4-19,172,0
2020-4-20,179,0
2020-4-21,213,0
2020-4-22,242,0
2020-4-23,253,0
2020-4-24,269,0
2020-4-25,289,0
2020-4-26,299,0
2020-4-27,306,0
2020-4-28,342,0
2020-4-29,354,0
2020-4-30,378,0
2020-5-1,399,0
2020-5-2,420,0
2020-5-3,422,422
2020-5-4,430,430
2020-5-5,452,452
2020-5-6,477,477
2020-5-7,507,507
2020-5-8,527,527
2020-5-9,544,544
2020-5-10,547,547
2020-5-11,550,550
2020-5-12,577,577
2020-5-13,597,597
2020-5-14,615,615
2020-5-15,641,641
2020-5-16,652,652
2020-5-17,659,659
2020-5-18,661,661
2020-5-19,691,691
2020-5-20,702,702
2020-5-21,716,716
2020-5-22,728,728
2020-5-23,737,737
2020-5-24,744,744
2020-5-25,754,754
2020-5-26,766,766
2020-5-27,794,794
2020-5-28,827,827
2020-5-29,859,859
2020-5-30,877,877
2020-5-31,886,886
2020-6-1,898,898
