Date,SCDATA.Death,SCDATA.DeathConfirmed
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,3,0
2020-3-23,5,0
2020-3-24,5,0
2020-3-25,7,0
2020-3-26,9,0
2020-3-27,9,0
2020-3-28,13,0
2020-3-29,16,0
2020-3-30,18,0
2020-3-31,22,0
2020-4-1,26,0
2020-4-2,31,0
2020-4-3,31,0
2020-4-4,40,0
2020-4-5,44,0
2020-4-6,44,0
2020-4-7,51,0
2020-4-8,63,0
2020-4-9,67,0
2020-4-10,72,0
2020-4-11,80,0
2020-4-12,82,0
2020-4-13,82,0
2020-4-14,97,0
2020-4-15,107,0
2020-4-16,107,0
2020-4-17,109,0
2020-4-18,119,0
2020-4-19,120,0
2020-4-20,120,0
2020-4-21,124,0
2020-4-22,140,0
2020-4-23,150,0
2020-4-24,150,0
2020-4-25,166,0
2020-4-26,174,0
2020-4-27,174,0
2020-4-28,177,0
2020-4-29,203,0
2020-4-30,244,0
2020-5-1,256,0
2020-5-2,267,0
2020-5-3,275,0
2020-5-4,275,275
2020-5-5,283,283
2020-5-6,305,305
2020-5-7,305,305
2020-5-8,316,316
2020-5-9,330,330
2020-5-10,331,331
2020-5-11,331,331
2020-5-12,355,355
2020-5-13,355,355
2020-5-14,371,371
2020-5-15,380,380
2020-5-16,380,380
2020-5-17,380,380
2020-5-18,391,391
2020-5-19,399,399
2020-5-20,399,399
2020-5-21,407,407
2020-5-22,419,419
2020-5-23,425,425
2020-5-24,435,435
2020-5-25,440,440
2020-5-26,446,446
2020-5-27,466,466
2020-5-28,470,470
2020-5-29,483,483
2020-5-30,487,487
2020-5-31,494,494
2020-6-1,500,500
